<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JXN21;1;20190121;161200;98.3500000;98.3500000;98.3500000;98.3500000;5
RU000A0JXN21;1;20190121;161400;98.0100000;98.0100000;98.0100000;98.0100000;3
RU000A0JXN21;1;20190121;162600;98.0000000;98.0000000;98.0000000;98.0000000;3
RU000A0JXN21;1;20190121;162800;98.0100000;98.0100000;98.0100000;98.0100000;1
RU000A0JXN21;1;20190121;174900;98.3500000;98.3500000;98.3500000;98.3500000;4
RU000A0JXN21;1;20190121;182200;98.3500000;98.3500000;98.3500000;98.3500000;730
RU000A0JXN21;1;20190121;182300;98.3500000;98.3500000;98.3500000;98.3500000;94
RU000A0JXN21;1;20190122;105200;98.6900000;98.6900000;98.6900000;98.6900000;20
RU000A0JXN21;1;20190122;105900;98.6000000;98.6000000;98.6000000;98.6000000;9
RU000A0JXN21;1;20190122;110000;98.6000000;98.6000000;98.6000000;98.6000000;2
RU000A0JXN21;1;20190122;113100;98.6100000;98.6100000;98.6000000;98.6000000;29
RU000A0JXN21;1;20190122;122100;98.5900000;98.5900000;98.5900000;98.5900000;2
RU000A0JXN21;1;20190122;133100;98.5900000;98.5900000;98.5900000;98.5900000;1
RU000A0JXN21;1;20190122;133200;98.6000000;98.6000000;98.6000000;98.6000000;7
RU000A0JXN21;1;20190122;150500;98.4100000;98.4100000;98.4000000;98.4000000;39
RU000A0JXN21;1;20190122;160400;98.5900000;98.6000000;98.5900000;98.6000000;100
RU000A0JXN21;1;20190122;172300;98.5000000;98.5000000;98.5000000;98.5000000;615
RU000A0JXN21;1;20190122;175800;98.4200000;98.4200000;98.4200000;98.4200000;1
RU000A0JXN21;1;20190123;100800;98.6900000;98.6900000;98.6900000;98.6900000;1
RU000A0JXN21;1;20190123;101500;98.4300000;98.4300000;98.4300000;98.4300000;6
RU000A0JXN21;1;20190123;101600;98.4300000;98.4300000;98.4300000;98.4300000;20
RU000A0JXN21;1;20190123;101700;98.4200000;98.4200000;98.4200000;98.4200000;3
RU000A0JXN21;1;20190123;102400;98.4300000;98.4300000;98.4300000;98.4300000;3
RU000A0JXN21;1;20190123;102500;98.4300000;98.4300000;98.4300000;98.4300000;20
RU000A0JXN21;1;20190123;102700;98.4900000;98.5000000;98.4900000;98.5000000;8
RU000A0JXN21;1;20190123;105000;98.5000000;98.5000000;98.5000000;98.5000000;10
RU000A0JXN21;1;20190123;105200;98.5000000;98.5000000;98.5000000;98.5000000;253
RU000A0JXN21;1;20190123;112500;98.5000000;98.5000000;98.5000000;98.5000000;30
RU000A0JXN21;1;20190123;113900;98.5000000;98.5000000;98.5000000;98.5000000;3
RU000A0JXN21;1;20190123;114300;98.5000000;98.5000000;98.5000000;98.5000000;30
RU000A0JXN21;1;20190123;114500;98.4900000;98.4900000;98.4900000;98.4900000;3
RU000A0JXN21;1;20190123;114700;98.5000000;98.5000000;98.5000000;98.5000000;3
RU000A0JXN21;1;20190123;114900;98.5000000;98.5000000;98.5000000;98.5000000;3000
RU000A0JXN21;1;20190123;115300;98.4900000;98.4900000;98.4900000;98.4900000;3
RU000A0JXN21;1;20190123;115700;98.5000000;98.5000000;98.5000000;98.5000000;3
RU000A0JXN21;1;20190123;115900;98.4900000;98.4900000;98.4900000;98.4900000;3
RU000A0JXN21;1;20190123;120100;98.5000000;98.5000000;98.5000000;98.5000000;3
RU000A0JXN21;1;20190123;121900;98.4900000;98.4900000;98.4900000;98.4900000;109
RU000A0JXN21;1;20190123;123500;98.4800000;98.4900000;98.4800000;98.4900000;50
RU000A0JXN21;1;20190123;124000;98.4900000;98.4900000;98.4900000;98.4900000;3
RU000A0JXN21;1;20190123;124200;98.4800000;98.4800000;98.4800000;98.4800000;3
RU000A0JXN21;1;20190123;124400;98.4900000;98.4900000;98.4900000;98.4900000;3
RU000A0JXN21;1;20190123;124800;98.4900000;98.5000000;98.4900000;98.5000000;400
RU000A0JXN21;1;20190123;125000;98.5000000;98.5000000;98.5000000;98.5000000;10
RU000A0JXN21;1;20190123;125800;98.5000000;98.5000000;98.5000000;98.5000000;20
RU000A0JXN21;1;20190123;130600;98.4900000;98.4900000;98.4900000;98.4900000;2
RU000A0JXN21;1;20190123;130700;98.4900000;98.4900000;98.4900000;98.4900000;1
RU000A0JXN21;1;20190123;130800;98.5000000;98.5000000;98.5000000;98.5000000;397
RU000A0JXN21;1;20190123;130900;98.5000000;98.5000000;98.5000000;98.5000000;95
RU000A0JXN21;1;20190123;131100;98.5000000;98.5000000;98.5000000;98.5000000;18
RU000A0JXN21;1;20190123;131200;98.5000000;98.5000000;98.4900000;98.4900000;193
RU000A0JXN21;1;20190123;131600;98.4900000;98.4900000;98.4300000;98.4300000;138
RU000A0JXN21;1;20190123;131900;98.5000000;98.5000000;98.5000000;98.5000000;1
RU000A0JXN21;1;20190123;134800;98.4900000;98.4900000;98.4900000;98.4900000;5
RU000A0JXN21;1;20190123;140100;98.4900000;98.5000000;98.4900000;98.5000000;2405
RU000A0JXN21;1;20190123;145600;98.5000000;98.5000000;98.5000000;98.5000000;1
RU000A0JXN21;1;20190123;150100;98.5000000;98.5000000;98.5000000;98.5000000;19
RU000A0JXN21;1;20190123;152900;98.4900000;98.4900000;98.4900000;98.4900000;100
RU000A0JXN21;1;20190123;153500;98.5000000;98.5000000;98.5000000;98.5000000;8
RU000A0JXN21;1;20190123;154300;98.4900000;98.4900000;98.4900000;98.4900000;3
RU000A0JXN21;1;20190123;154400;98.5000000;98.5000000;98.5000000;98.5000000;34
RU000A0JXN21;1;20190123;154500;98.4900000;98.4900000;98.4900000;98.4900000;1
RU000A0JXN21;1;20190123;162400;98.4900000;98.4900000;98.4900000;98.4900000;2
RU000A0JXN21;1;20190123;164700;98.5000000;98.5000000;98.5000000;98.5000000;3
RU000A0JXN21;1;20190123;165200;98.5000000;98.5000000;98.5000000;98.5000000;2005
RU000A0JXN21;1;20190123;165700;98.4900000;98.4900000;98.2100000;98.2100000;1190
RU000A0JXN21;1;20190123;171500;98.4000000;98.4000000;98.4000000;98.4000000;20
RU000A0JXN21;1;20190123;171600;98.4000000;98.4000000;98.4000000;98.4000000;10
RU000A0JXN21;1;20190124;113200;98.6700000;98.6700000;98.6700000;98.6700000;3
RU000A0JXN21;1;20190124;113400;98.6700000;98.6700000;98.6700000;98.6700000;3
RU000A0JXN21;1;20190124;115500;98.6700000;98.6700000;98.6700000;98.6700000;1
RU000A0JXN21;1;20190124;120000;98.6700000;98.6700000;98.6700000;98.6700000;1
RU000A0JXN21;1;20190124;122600;98.6700000;98.7000000;98.6700000;98.7000000;3000
RU000A0JXN21;1;20190124;122800;98.7000000;98.7000000;98.7000000;98.7000000;5000
RU000A0JXN21;1;20190124;122900;98.3200000;98.3200000;98.3000000;98.3000000;164
RU000A0JXN21;1;20190124;150200;98.5900000;98.5900000;98.5900000;98.5900000;3
RU000A0JXN21;1;20190124;162700;98.6000000;98.6000000;98.6000000;98.6000000;5
RU000A0JXN21;1;20190124;163000;98.6000000;98.6000000;98.6000000;98.6000000;2
RU000A0JXN21;1;20190124;163500;98.6000000;98.6000000;98.6000000;98.6000000;3
RU000A0JXN21;1;20190124;163700;98.5900000;98.5900000;98.5900000;98.5900000;2
RU000A0JXN21;1;20190124;172900;98.5800000;98.5800000;98.5800000;98.5800000;1
