<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A101H43;0;20200303;164213;100.180000000;1
RU000A101H43;0;20200303;164257;100.180000000;2
RU000A101H43;0;20200303;164345;100.180000000;30
RU000A101H43;0;20200303;164351;100.180000000;7
RU000A101H43;0;20200303;164409;100.180000000;10
RU000A101H43;0;20200303;164449;100.180000000;49
RU000A101H43;0;20200303;164729;100.180000000;10
RU000A101H43;0;20200303;164903;100.180000000;1
RU000A101H43;0;20200303;164946;100.180000000;1
RU000A101H43;0;20200303;165031;100.180000000;5
RU000A101H43;0;20200303;165056;100.180000000;253
RU000A101H43;0;20200303;165233;100.180000000;140
RU000A101H43;0;20200303;165247;100.180000000;11
RU000A101H43;0;20200303;165306;100.180000000;30
RU000A101H43;0;20200303;165336;100.180000000;100
RU000A101H43;0;20200303;165520;100.180000000;20
RU000A101H43;0;20200303;165648;100.180000000;10
RU000A101H43;0;20200303;165752;100.180000000;1
RU000A101H43;0;20200303;165814;100.180000000;1
RU000A101H43;0;20200303;165922;100.180000000;19
RU000A101H43;0;20200303;165954;100.170000000;1
RU000A101H43;0;20200303;170022;100.170000000;9
RU000A101H43;0;20200303;170022;100.160000000;10
RU000A101H43;0;20200303;170022;100.150000000;13
RU000A101H43;0;20200303;170022;100.150000000;1
RU000A101H43;0;20200303;170022;100.150000000;40
RU000A101H43;0;20200303;170022;100.150000000;50
RU000A101H43;0;20200303;170022;100.140000000;50
RU000A101H43;0;20200303;170022;100.130000000;1
RU000A101H43;0;20200303;170022;100.130000000;50
RU000A101H43;0;20200303;170022;100.130000000;27
RU000A101H43;0;20200303;170022;100.120000000;1
RU000A101H43;0;20200303;170022;100.120000000;10
RU000A101H43;0;20200303;170022;100.120000000;2
RU000A101H43;0;20200303;170022;100.120000000;1111
RU000A101H43;0;20200303;170022;100.120000000;480
RU000A101H43;0;20200303;170022;100.120000000;50
RU000A101H43;0;20200303;170022;100.110000000;222
RU000A101H43;0;20200303;170022;100.110000000;5
RU000A101H43;0;20200303;170022;100.110000000;1
RU000A101H43;0;20200303;170022;100.110000000;100
RU000A101H43;0;20200303;170022;100.110000000;10
RU000A101H43;0;20200303;170022;100.110000000;40
RU000A101H43;0;20200303;170022;100.110000000;1
RU000A101H43;0;20200303;170022;100.100000000;2924
RU000A101H43;0;20200303;170022;100.100000000;6
RU000A101H43;0;20200303;170022;100.100000000;10
RU000A101H43;0;20200303;170022;100.100000000;50
RU000A101H43;0;20200303;170022;100.100000000;10
RU000A101H43;0;20200303;170022;100.100000000;1
RU000A101H43;0;20200303;170022;100.100000000;700
RU000A101H43;0;20200303;170022;100.100000000;5
RU000A101H43;0;20200303;170022;100.100000000;1500
RU000A101H43;0;20200303;170022;100.100000000;40
RU000A101H43;0;20200303;170022;100.100000000;2
RU000A101H43;0;20200303;170022;100.100000000;3
RU000A101H43;0;20200303;170147;100.100000000;1
RU000A101H43;0;20200303;170244;100.100000000;50
RU000A101H43;0;20200303;170315;100.100000000;50
RU000A101H43;0;20200303;170414;100.100000000;1
RU000A101H43;0;20200303;170543;100.100000000;298
RU000A101H43;0;20200303;170654;100.100000000;10
RU000A101H43;0;20200303;170702;100.100000000;10
RU000A101H43;0;20200303;170706;100.100000000;6
RU000A101H43;0;20200303;170801;100.100000000;540
RU000A101H43;0;20200303;170843;100.100000000;29
RU000A101H43;0;20200303;170913;100.100000000;320
RU000A101H43;0;20200303;170938;100.100000000;20
RU000A101H43;0;20200303;171147;100.100000000;1
RU000A101H43;0;20200303;171320;100.100000000;1
RU000A101H43;0;20200303;171425;100.100000000;10
RU000A101H43;0;20200303;171600;100.100000000;40
RU000A101H43;0;20200303;171620;100.100000000;2
RU000A101H43;0;20200303;171634;100.100000000;1
RU000A101H43;0;20200303;171635;100.100000000;821
RU000A101H43;0;20200303;171722;100.100000000;1400
RU000A101H43;0;20200303;171723;100.100000000;54
RU000A101H43;0;20200303;171734;100.100000000;12
RU000A101H43;0;20200303;171804;100.100000000;1
RU000A101H43;0;20200303;171823;100.100000000;30
RU000A101H43;0;20200303;171924;100.100000000;30
RU000A101H43;0;20200303;172142;100.100000000;187
RU000A101H43;0;20200303;172200;100.100000000;5
RU000A101H43;0;20200303;172230;100.100000000;2
RU000A101H43;0;20200303;172308;100.100000000;10
RU000A101H43;0;20200303;172442;100.090000000;38
RU000A101H43;0;20200303;172442;100.090000000;2
RU000A101H43;0;20200303;172442;100.080000000;10
RU000A101H43;0;20200303;172442;100.070000000;1
RU000A101H43;0;20200303;172442;100.070000000;10
RU000A101H43;0;20200303;172442;100.060000000;10
RU000A101H43;0;20200303;172442;100.060000000;200
RU000A101H43;0;20200303;172442;100.060000000;20
RU000A101H43;0;20200303;172442;100.060000000;1
RU000A101H43;0;20200303;172442;100.060000000;10
RU000A101H43;0;20200303;172442;100.060000000;40
RU000A101H43;0;20200303;172442;100.050000000;15
RU000A101H43;0;20200303;172442;100.050000000;20
RU000A101H43;0;20200303;172442;100.050000000;10
RU000A101H43;0;20200303;172442;100.050000000;1
RU000A101H43;0;20200303;172442;100.050000000;21
RU000A101H43;0;20200303;172442;100.050000000;50
RU000A101H43;0;20200303;172442;100.050000000;5
RU000A101H43;0;20200303;172442;100.050000000;10
RU000A101H43;0;20200303;172442;100.050000000;1
RU000A101H43;0;20200303;172442;100.040000000;10
RU000A101H43;0;20200303;172442;100.040000000;10
RU000A101H43;0;20200303;172442;100.040000000;1
RU000A101H43;0;20200303;172442;100.040000000;250
RU000A101H43;0;20200303;172442;100.040000000;24
RU000A101H43;0;20200303;172442;100.040000000;30
RU000A101H43;0;20200303;172442;100.030000000;10
RU000A101H43;0;20200303;172442;100.030000000;20
RU000A101H43;0;20200303;172442;100.030000000;500
RU000A101H43;0;20200303;172442;100.030000000;20
RU000A101H43;0;20200303;172442;100.030000000;10
RU000A101H43;0;20200303;172442;100.030000000;1
RU000A101H43;0;20200303;172442;100.030000000;5
RU000A101H43;0;20200303;172442;100.030000000;28
RU000A101H43;0;20200303;172442;100.030000000;150
RU000A101H43;0;20200303;172442;100.030000000;30
RU000A101H43;0;20200303;172442;100.020000000;10
RU000A101H43;0;20200303;172442;100.020000000;3
RU000A101H43;0;20200303;172442;100.020000000;10
RU000A101H43;0;20200303;172442;100.020000000;1
RU000A101H43;0;20200303;172442;100.020000000;10
RU000A101H43;0;20200303;172442;100.020000000;1
RU000A101H43;0;20200303;172442;100.020000000;5
RU000A101H43;0;20200303;172442;100.020000000;1
RU000A101H43;0;20200303;172442;100.020000000;1
RU000A101H43;0;20200303;172442;100.020000000;1384
RU000A101H43;0;20200303;172457;100.100000000;2
RU000A101H43;0;20200303;172546;100.100000000;40
RU000A101H43;0;20200303;172602;100.100000000;20
RU000A101H43;0;20200303;173128;100.130000000;1
RU000A101H43;0;20200303;173128;100.140000000;2
RU000A101H43;0;20200303;173146;100.130000000;1
RU000A101H43;0;20200303;173159;100.120000000;48
RU000A101H43;0;20200303;173159;100.150000000;552
RU000A101H43;0;20200303;173219;100.140000000;1
RU000A101H43;0;20200303;173221;100.140000000;298
RU000A101H43;0;20200303;173221;100.150000000;148
RU000A101H43;0;20200303;173221;100.150000000;50
RU000A101H43;0;20200303;173221;100.170000000;50
RU000A101H43;0;20200303;173221;100.170000000;54
RU000A101H43;0;20200303;173233;100.160000000;1
RU000A101H43;0;20200303;173353;100.160000000;10
RU000A101H43;0;20200303;173439;100.160000000;54
RU000A101H43;0;20200303;173523;100.160000000;35
RU000A101H43;0;20200303;173523;100.170000000;346
RU000A101H43;0;20200303;173523;100.170000000;17
RU000A101H43;0;20200303;173909;100.160000000;50
RU000A101H43;0;20200303;173928;100.160000000;1
RU000A101H43;0;20200303;173944;100.160000000;26
RU000A101H43;0;20200303;174058;100.160000000;5
RU000A101H43;0;20200303;174115;100.160000000;57
RU000A101H43;0;20200303;174408;100.160000000;1
RU000A101H43;0;20200303;174423;100.160000000;100
RU000A101H43;0;20200303;174629;100.160000000;300
RU000A101H43;0;20200303;174940;100.150000000;10
RU000A101H43;0;20200303;175438;100.150000000;1
RU000A101H43;0;20200303;175518;100.150000000;201
RU000A101H43;0;20200303;175615;100.100000000;20
RU000A101H43;0;20200303;175615;100.100000000;20
RU000A101H43;0;20200303;175615;100.100000000;2
RU000A101H43;0;20200303;175615;100.100000000;1
RU000A101H43;0;20200303;175618;100.100000000;10
RU000A101H43;0;20200303;175637;100.100000000;6
RU000A101H43;0;20200303;175645;100.100000000;80
RU000A101H43;0;20200303;175818;100.100000000;11
RU000A101H43;0;20200303;175854;100.150000000;1
RU000A101H43;0;20200303;180117;100.150000000;50
RU000A101H43;0;20200303;180318;100.150000000;1
RU000A101H43;0;20200303;180417;100.150000000;1
RU000A101H43;0;20200303;180900;100.110000000;1
RU000A101H43;0;20200303;180950;100.100000000;9
RU000A101H43;0;20200303;181044;100.150000000;8
RU000A101H43;0;20200303;181141;100.150000000;50
RU000A101H43;0;20200303;181143;100.150000000;10
RU000A101H43;0;20200303;181238;100.150000000;10
RU000A101H43;0;20200303;181248;100.150000000;150
RU000A101H43;0;20200303;181438;100.150000000;10
RU000A101H43;0;20200303;181756;100.100000000;40
RU000A101H43;0;20200303;181756;100.100000000;20
RU000A101H43;0;20200303;181756;100.100000000;1
RU000A101H43;0;20200303;181756;100.100000000;8
RU000A101H43;0;20200303;181756;100.100000000;1
RU000A101H43;0;20200303;181756;100.090000000;10
RU000A101H43;0;20200303;181756;100.080000000;1
RU000A101H43;0;20200303;181756;100.070000000;50
RU000A101H43;0;20200303;181756;100.060000000;10
RU000A101H43;0;20200303;181756;100.060000000;30
RU000A101H43;0;20200303;181756;100.060000000;10
RU000A101H43;0;20200303;181756;100.060000000;3
RU000A101H43;0;20200303;181756;100.060000000;17
RU000A101H43;0;20200303;181756;100.060000000;1
RU000A101H43;0;20200303;181756;100.060000000;47
RU000A101H43;0;20200303;181756;100.050000000;100
RU000A101H43;0;20200303;181756;100.050000000;11
RU000A101H43;0;20200303;182027;100.150000000;50
RU000A101H43;0;20200303;182442;100.100000000;1
RU000A101H43;0;20200303;182819;100.100000000;11
RU000A101H43;0;20200303;182858;100.100000000;38
RU000A101H43;0;20200303;182905;100.100000000;5
RU000A101H43;0;20200303;182918;100.100000000;1
RU000A101H43;0;20200303;182949;100.100000000;20
RU000A101H43;0;20200303;183019;100.050000000;10
RU000A101H43;0;20200303;183036;100.100000000;9
RU000A101H43;0;20200303;183147;100.100000000;19
RU000A101H43;0;20200303;183228;100.100000000;6
RU000A101H43;0;20200303;183341;100.100000000;1
RU000A101H43;0;20200303;183523;100.100000000;5
RU000A101H43;0;20200303;183550;100.100000000;11
RU000A101H43;0;20200303;183606;100.100000000;15
RU000A101H43;0;20200303;183647;100.100000000;50
RU000A101H43;0;20200303;183648;100.100000000;2
RU000A101H43;0;20200303;183749;100.100000000;50
RU000A101H43;0;20200303;183845;100.100000000;39
RU000A101H43;0;20200303;183918;100.100000000;10
RU000A101H43;0;20200303;184106;100.100000000;10
RU000A101H43;0;20200303;184158;100.100000000;3
RU000A101H43;0;20200303;184221;100.100000000;200
RU000A101H43;0;20200303;184315;100.100000000;100
RU000A101H43;0;20200303;184426;100.100000000;2
RU000A101H43;0;20200303;184426;100.100000000;1
RU000A101H43;0;20200303;184431;100.100000000;23
RU000A101H43;0;20200304;100131;100.160000000;2
RU000A101H43;0;20200304;100138;100.160000000;3
RU000A101H43;0;20200304;100144;100.160000000;50
RU000A101H43;0;20200304;100151;100.160000000;5
RU000A101H43;0;20200304;100223;100.290000000;1
RU000A101H43;0;20200304;100334;100.290000000;30
RU000A101H43;0;20200304;100354;100.290000000;2
RU000A101H43;0;20200304;100354;100.290000000;8
RU000A101H43;0;20200304;100358;100.200000000;60
RU000A101H43;0;20200304;100408;100.200000000;18
RU000A101H43;0;20200304;100425;100.160000000;5
RU000A101H43;0;20200304;100425;100.160000000;50
RU000A101H43;0;20200304;100434;100.200000000;20
RU000A101H43;0;20200304;100448;100.200000000;102
RU000A101H43;0;20200304;100452;100.200000000;5
RU000A101H43;0;20200304;100455;100.200000000;18
RU000A101H43;0;20200304;100514;100.200000000;5
RU000A101H43;0;20200304;100514;100.150000000;150
RU000A101H43;0;20200304;100522;100.200000000;50
RU000A101H43;0;20200304;100539;100.200000000;20
RU000A101H43;0;20200304;100558;100.150000000;44
RU000A101H43;0;20200304;100558;100.150000000;15
RU000A101H43;0;20200304;100612;100.150000000;10
RU000A101H43;0;20200304;100615;100.150000000;20
RU000A101H43;0;20200304;100718;100.150000000;20
RU000A101H43;0;20200304;100743;100.120000000;10
RU000A101H43;0;20200304;100814;100.150000000;50
RU000A101H43;0;20200304;100820;100.150000000;10
RU000A101H43;0;20200304;100824;100.150000000;50
RU000A101H43;0;20200304;100828;100.120000000;21
RU000A101H43;0;20200304;100828;100.120000000;1
RU000A101H43;0;20200304;100828;100.100000000;10
RU000A101H43;0;20200304;100828;100.100000000;10
RU000A101H43;0;20200304;100828;100.100000000;45
RU000A101H43;0;20200304;100828;100.100000000;107
RU000A101H43;0;20200304;100828;100.100000000;5
RU000A101H43;0;20200304;100927;100.040000000;1
RU000A101H43;0;20200304;100948;100.150000000;100
RU000A101H43;0;20200304;101224;100.150000000;10
RU000A101H43;0;20200304;101233;100.150000000;1
RU000A101H43;0;20200304;101247;100.150000000;49
RU000A101H43;0;20200304;101341;100.150000000;1
RU000A101H43;0;20200304;101412;100.100000000;5
RU000A101H43;0;20200304;101437;100.150000000;18
RU000A101H43;0;20200304;101440;100.150000000;10
RU000A101H43;0;20200304;101510;100.150000000;500
RU000A101H43;0;20200304;101708;100.150000000;10
RU000A101H43;0;20200304;101709;100.150000000;3
RU000A101H43;0;20200304;101813;100.150000000;20
