<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A0JXQ93;0;20190109;110313;104.540000000;165
RU000A0JXQ93;0;20190109;110412;104.500000000;50
RU000A0JXQ93;0;20190109;113040;104.490000000;1
RU000A0JXQ93;0;20190109;113100;104.490000000;19
RU000A0JXQ93;0;20190109;115525;104.010000000;25
RU000A0JXQ93;0;20190109;122258;104.480000000;3
RU000A0JXQ93;0;20190109;123134;104.480000000;1
RU000A0JXQ93;0;20190109;130006;104.400000000;20
RU000A0JXQ93;0;20190109;130136;104.400000000;36
RU000A0JXQ93;0;20190109;132144;104.010000000;5
RU000A0JXQ93;0;20190109;133108;104.390000000;6
RU000A0JXQ93;0;20190109;141956;104.010000000;1
RU000A0JXQ93;0;20190109;153618;104.230000000;21
RU000A0JXQ93;0;20190109;153618;104.240000000;9
RU000A0JXQ93;0;20190109;154916;104.240000000;1
RU000A0JXQ93;0;20190109;164257;104.240000000;2
RU000A0JXQ93;0;20190109;164653;104.240000000;18
RU000A0JXQ93;0;20190109;164653;104.250000000;22
RU000A0JXQ93;0;20190109;164704;104.250000000;3
RU000A0JXQ93;0;20190109;165815;104.250000000;4
RU000A0JXQ93;0;20190109;171734;104.250000000;10
RU000A0JXQ93;0;20190109;172924;104.250000000;200
RU000A0JXQ93;0;20190109;183737;104.250000000;1
RU000A0JXQ93;0;20190110;103257;104.470000000;30
RU000A0JXQ93;0;20190110;103331;104.540000000;1
RU000A0JXQ93;0;20190110;103331;104.550000000;49
RU000A0JXQ93;0;20190110;104146;104.550000000;50
RU000A0JXQ93;0;20190110;104345;104.560000000;1
RU000A0JXQ93;0;20190110;105018;104.740000000;1
RU000A0JXQ93;0;20190110;105018;104.750000000;4
RU000A0JXQ93;0;20190110;112650;104.500000000;100
RU000A0JXQ93;0;20190110;113440;104.500000000;50
RU000A0JXQ93;0;20190110;114713;104.250000000;12
RU000A0JXQ93;0;20190110;122128;104.500000000;30
RU000A0JXQ93;0;20190110;122204;104.500000000;2
RU000A0JXQ93;0;20190110;122556;104.030000000;1
RU000A0JXQ93;0;20190110;124822;104.490000000;1
RU000A0JXQ93;0;20190110;124822;104.500000000;4
RU000A0JXQ93;0;20190110;125023;104.500000000;5
RU000A0JXQ93;0;20190110;133119;104.500000000;129
RU000A0JXQ93;0;20190110;140740;104.500000000;5
RU000A0JXQ93;0;20190110;140832;104.110000000;1
RU000A0JXQ93;0;20190110;141923;104.490000000;1
RU000A0JXQ93;0;20190110;141923;104.500000000;9
RU000A0JXQ93;0;20190110;151309;104.440000000;1
RU000A0JXQ93;0;20190110;151330;104.440000000;20
RU000A0JXQ93;0;20190110;151405;104.440000000;1
RU000A0JXQ93;0;20190110;154250;104.440000000;1
RU000A0JXQ93;0;20190110;160304;104.440000000;25
RU000A0JXQ93;0;20190110;163458;104.400000000;5
RU000A0JXQ93;0;20190110;164241;104.400000000;45
RU000A0JXQ93;0;20190110;164740;104.440000000;5
RU000A0JXQ93;0;20190110;165221;104.430000000;80
RU000A0JXQ93;0;20190110;171646;104.130000000;15
RU000A0JXQ93;0;20190110;171917;104.430000000;1
RU000A0JXQ93;0;20190110;172813;104.430000000;14
RU000A0JXQ93;0;20190110;172813;104.440000000;46
RU000A0JXQ93;0;20190110;174023;104.130000000;17
RU000A0JXQ93;0;20190110;174023;104.120000000;94
RU000A0JXQ93;0;20190110;174023;104.100000000;1
RU000A0JXQ93;0;20190110;175044;104.100000000;20
RU000A0JXQ93;0;20190110;175121;104.100000000;5
RU000A0JXQ93;0;20190110;175153;104.100000000;5
RU000A0JXQ93;0;20190110;175508;104.090000000;1
RU000A0JXQ93;0;20190110;175604;104.090000000;16
RU000A0JXQ93;0;20190110;175604;104.100000000;39
RU000A0JXQ93;0;20190110;180109;104.100000000;5
RU000A0JXQ93;0;20190110;180145;104.100000000;4
RU000A0JXQ93;0;20190110;180545;104.040000000;1
RU000A0JXQ93;0;20190110;182248;104.100000000;5
RU000A0JXQ93;0;20190110;182413;104.090000000;1
RU000A0JXQ93;0;20190110;182413;104.100000000;14
RU000A0JXQ93;0;20190110;183124;104.100000000;60
RU000A0JXQ93;0;20190110;183324;104.100000000;30
RU000A0JXQ93;0;20190111;102141;104.100000000;1
RU000A0JXQ93;0;20190111;103540;104.100000000;15
RU000A0JXQ93;0;20190111;103658;104.020000000;5
RU000A0JXQ93;0;20190111;103726;104.020000000;10
RU000A0JXQ93;0;20190111;104005;104.100000000;15
RU000A0JXQ93;0;20190111;104213;104.100000000;15
RU000A0JXQ93;0;20190111;104823;104.030000000;1
RU000A0JXQ93;0;20190111;105921;104.100000000;2
RU000A0JXQ93;0;20190111;110558;104.100000000;43
RU000A0JXQ93;0;20190111;115427;104.100000000;15
RU000A0JXQ93;0;20190111;122241;104.100000000;3
RU000A0JXQ93;0;20190111;125718;104.100000000;5
RU000A0JXQ93;0;20190111;130715;104.100000000;9
RU000A0JXQ93;0;20190111;131538;104.010000000;9
RU000A0JXQ93;0;20190111;132044;104.100000000;4
RU000A0JXQ93;0;20190111;134150;104.100000000;18
RU000A0JXQ93;0;20190111;135132;104.100000000;10
RU000A0JXQ93;0;20190111;135224;104.100000000;24
RU000A0JXQ93;0;20190111;140059;104.100000000;1
RU000A0JXQ93;0;20190111;140924;104.100000000;10
RU000A0JXQ93;0;20190111;142414;104.100000000;41
RU000A0JXQ93;0;20190111;143937;104.100000000;1
RU000A0JXQ93;0;20190111;150405;104.100000000;17
RU000A0JXQ93;0;20190111;150405;104.100000000;1
RU000A0JXQ93;0;20190111;152448;104.300000000;1
RU000A0JXQ93;0;20190111;152448;104.400000000;1
RU000A0JXQ93;0;20190111;162454;104.230000000;8
RU000A0JXQ93;0;20190111;162454;104.220000000;7
RU000A0JXQ93;0;20190111;162454;104.100000000;28
RU000A0JXQ93;0;20190111;162454;104.020000000;22
RU000A0JXQ93;0;20190111;163014;104.380000000;5
RU000A0JXQ93;0;20190111;163037;104.380000000;2
RU000A0JXQ93;0;20190111;163037;104.380000000;8
RU000A0JXQ93;0;20190111;171004;104.390000000;1
RU000A0JXQ93;0;20190111;171751;104.390000000;5
RU000A0JXQ93;0;20190111;172520;104.390000000;1
RU000A0JXQ93;0;20190111;172546;104.190000000;5
RU000A0JXQ93;0;20190111;181850;104.100000000;1
RU000A0JXQ93;0;20190111;181850;104.390000000;4
RU000A0JXQ93;0;20190111;183004;104.100000000;1
RU000A0JXQ93;0;20190111;183004;104.120000000;1
